price,square,apartment_type,apartment_floor,total_floors,adress,metro_station,distance_to_station
28652280,"109,8",2-к. квартира,49,56,"пр-т Мира, д. 188Б, корп. 1",Ростокино,0.8
36673756,"98,4",3-к. квартира,23,39,"ул. Лобачевского , вл. 120",Аминьевская,0.3
19299350,"40,7",2-к. квартира,15,57,"пр-д Багратионовский, стр. 5",Фили,0.5
15431240,"74,8",3-к. квартира,14,23,"Кавказский б-р, жилые дома",Кантемировская,1.3
10899200,"41,6",1-к. квартира,20,33,"жилой комплекс Сигнальный 16, к1/3",Владыкино,0.9
7762239,"44,5",2-к. квартира,9,9,"п. Филимонковское, дер. Староселье, стр. 5",,
15243679,"66,7",3-к. квартира,4,9,"п. Сосенское, дер. Николо-Хованское, ул. Николо-Хованская/Сервантеса/б-р Веласкеса, жилые дома",Прокшино,1.3
13000000,"54,3",2-к. квартира,4,10,"Мячковский б-р, 8к3",Братиславская,0.4
12688940,"42,1",1-к. квартира,16,24,"ш. Волоколамское, корп. 11",Спартак,0.8
17433780,"80,6",3-к. квартира,22,33,"ул. Газопровод, стр. 1",Аннино,1.0
15597600,"38,8",1-к. квартира,28,32,"ул. Бочкова, вл. 11А, корп. 3",Алексеевская,0.9
23075740,"86,2",3-к. квартира,12,12,"ш. Волоколамское, корп. 12",Спартак,0.7
5340000,"30,5",1-к. квартира,3,5,"Большая Филёвская ул., 59к2",Пионерская,0.3
9143441,"29,3",Апартаменты-студия,11,21,"ул. Сокольнический Вал, вл. 1Д",Рижская,1.1
5926813,"17,5",Апартаменты-студия,6,21,"пр-д Автомобильный, вл. 4",Волгоградский проспект,0.8
15263241,59,2-к. квартира,1,24,"ш. Волоколамское, корп. 11",Спартак,0.8
10708778,"38,7",1-к. квартира,16,16,"п. Коммунарка, ул. Эдварда Грига, д. 16, корп. 2",Бунинская аллея,2.0
24643264,"92,9",3-к. апартаменты,15,18,"пр-т Нахимовский, вл. 31, корп. 3",Профсоюзная,1.4
13067167,"70,8",3-к. квартира,18,21,"пос. Московский, стр. 1",Филатов луг,2.6
8316820,"38,9",1-к. квартира,5,9,"п. Сосенское, кв-л No183",Коммунарка,1.8
6115408,"17,8",Апартаменты-студия,10,21,"пр-д Автомобильный, вл. 4",Волгоградский проспект,0.8
11000000,"30,6",1-к. квартира,8,9,"ул. Менжинского, 18",Бабушкинская,0.6
18350514,"65,9",2-к. квартира,4,15,"2-й Котляковский пер., вл. 1/1",Варшавская,0.9
23229136,"92,7",3-к. квартира,9,15,"ш. Волоколамское, корп. 11",Спартак,0.8
17928812,"92,7",3-к. квартира,2,15,"дер. Николо-Хованское, д. 5",Прокшино,0.9
11021149,"52,5",2-к. квартира,7,22,"п. Московский, дер. Картмазово, ул. Картмазовские Пруды, уч. 16/1, корп. 3",Филатов луг,1.9
12800000,"54,6",3-к. квартира,1,5,"ул. Свободы, 85к4",Планерная,0.5
12485316,"40,2",1-к. квартира,20,20,"ул. Озёрная, стр. 1.3-1.6",Озёрная,0.6
6629541,"31,1",1-к. квартира,6,17,"п. Десёновское, ш. Калужское, вл. 52Б, стр. 11",,
31546935,"93,1",3-к. квартира,19,21,"ул. 3-я Хорошевская, стр. 3, вл. 19",Зорге,0.8
13035836,"59,6",2-к. квартира,12,16,"п. Сосенское, пос. Коммунарка, Скандинавский б-р, д. 5, корп. 1",Коммунарка,2.0
6100000,"34,3",1-к. квартира,14,18,"Флотская ул., 13к3",Речной вокзал,1.6
17434159,"58,2",2-к. квартира,33,33,"2-й Нагатинский пр-д, вл. 2/2",Нагатинская,1.3
8107598,"23,5",Апартаменты-студия,15,21,"пр-д Автомобильный, вл. 4",Волгоградский проспект,0.8
19244035,"71,9",2-к. квартира,2,12,"ул. Складочная, вл. 6, корп. 8",Савёловская,1.0
10808322,42,2-к. квартира,33,33,"жилой комплекс Сигнальный 16, к1/1",Владыкино,0.8
10310717,"34,4",1-к. апартаменты,11,21,"ул. Сокольнический Вал, вл. 1Д",Рижская,1.1
6890000,"41,3",1-к. квартира,5,6,"ул. Петра Романова, 7с1",Кожуховская,0.3
15218999,"57,9",2-к. апартаменты,10,21,"ул. Сокольнический Вал, вл. 1Д",Рижская,1.1
18600000,"78,9",3-к. квартира,3,9,"Профсоюзная ул., 99",Коньково,0.5
9500000,36,1-к. квартира,3,3,"пос. Коммунарка, ул. Потаповская Роща, 5к2",Бунинская аллея,1.8
8900000,22,1-к. квартира,4,17,"Ленинградский пр-т, 35с2",Петровский парк,0.5
6029394,"17,8",Апартаменты-студия,7,21,"пр-д Автомобильный, вл. 4",Волгоградский проспект,0.8
9300000,"31,1",1-к. квартира,1,9,"б-р Маршала Рокоссовского, 7к3",Бульвар Рокоссовского,0.8
8900000,33,1-к. квартира,15,30,"ул. Газгольдерная, вл. 8",Нижегородская,0.6
14187697,"41,4",2-к. квартира,28,32,"ул. Руставели, вл. 14/3, корп. 1, стр. 1.1",Бутырская,0.2
10700000,"46,2",2-к. квартира,11,12,"Тамбовская ул., 8к1",Зябликово,1.0
13500000,"52,8",3-к. квартира,3,5,"Кременчугская ул., 4к1",Славянский бульвар,1.0
10500000,"46,2",2-к. квартира,3,5,"4-я Гражданская ул., 37к1",Бульвар Рокоссовского,1.3
16680000,"41,7",Квартира-студия,11,14,"ул. Зацепа, 29",Павелецкая,0.4
9964466,"36,1",1-к. квартира,28,33,"ул. Амурская, стр. 2",Локомотив,0.5
7890000,"36,6",1-к. квартира,4,21,"Дмитровское ш., 107Ак1",Селигерская,1.6
9500000,"37,1",2-к. квартира,9,9,"Астрадамская ул., 9к1",Тимирязевская,1.2
60021000,117,3-к. квартира,11,26,"пр-д Береговой, вл. 2Б",Шелепиха,1.3
