price_per_square_metr,price,square,distance_to_station,total_floors,district,metro_station,apartment_type
234.43,12.8,54.6,0.5,5,Северо-западный,Планерная,3-к квартира
310.7,12.49,40.2,0.6,20,Западный,Озёрная,1-к квартира
338.88,31.55,93.1,0.8,21,Северный,Зорге,3-к квартира
218.79,13.04,59.6,2.0,16,Новомосковский,Коммунарка,2-к квартира
177.84,6.1,34.3,1.6,18,Северный,Речной вокзал,1-к квартира
299.48,17.43,58.2,1.3,33,Южный,Нагатинская,2-к квартира
345.11,8.11,23.5,0.8,21,Юго-восточный,Волгоградский проспект,Апартаменты-студия
267.59,19.24,71.9,1.0,12,Северный,Савёловская,2-к квартира
257.38,10.81,42.0,0.8,33,Северо-восточный,Владыкино,2-к квартира
299.71,10.31,34.4,1.1,21,Центральный,Рижская,1-к апартаменты
166.83,6.89,41.3,0.3,6,Юго-восточный,Кожуховская,1-к квартира
235.74,18.6,78.9,0.5,9,Юго-западный,Коньково,3-к квартира
263.89,9.5,36.0,1.8,3,Юго-западный,Бунинская аллея,1-к квартира
404.55,8.9,22.0,0.5,17,Северный,Петровский парк,1-к квартира
338.76,6.03,17.8,0.8,21,Юго-восточный,Волгоградский проспект,Апартаменты-студия
299.04,9.3,31.1,0.8,9,Восточный,Бульвар Рокоссовского,1-к квартира
269.7,8.9,33.0,0.6,30,Юго-восточный,Нижегородская,1-к квартира
231.6,10.7,46.2,1.0,12,Южный,Зябликово,2-к квартира
255.68,13.5,52.8,1.0,5,Западный,Славянский бульвар,3-к квартира
227.27,10.5,46.2,1.3,5,Восточный,Бульвар Рокоссовского,2-к квартира
400.0,16.68,41.7,0.4,14,Центральный,Павелецкая,Квартира-студия
275.9,9.96,36.1,0.5,33,Восточный,Локомотив,1-к квартира
215.57,7.89,36.6,1.6,21,Северный,Селигерская,1-к квартира
256.06,9.5,37.1,1.2,9,Северный,Тимирязевская,2-к квартира
409.22,59.5,145.4,0.6,15,Центральный,Улица 1905 года,4-к квартира
262.33,11.7,44.6,1.1,9,Юго-восточный,Текстильщики,2-к квартира
280.98,26.3,93.6,0.3,53,Центральный,Шелепиха,3-к квартира
237.91,12.3,51.7,1.2,17,Юго-восточный,Люблино,2-к квартира
254.76,10.7,42.0,1.1,5,Восточный,Щёлковская,2-к квартира
162.56,6.99,43.0,1.0,18,Южный,Южная,1-к квартира
159.6,7.23,45.3,1.9,11,Южный,Царицыно,1-к квартира
511.11,46.0,90.0,0.3,66,Центральный,Международная,3-к апартаменты
390.11,17.36,44.5,0.4,14,Центральный,Павелецкая,Апартаменты-студия
198.81,8.35,42.0,0.6,31,Юго-восточный,Нижегородская,1-к квартира
208.96,16.8,80.4,0.8,12,Юго-восточный,Люблино,3-к квартира
156.96,7.22,46.0,0.7,12,Южный,Крымская,2-к квартира
224.22,10.0,44.6,0.3,9,Юго-восточный,Печатники,2-к квартира
346.47,5.89,17.0,0.8,21,Юго-восточный,Волгоградский проспект,Апартаменты-студия
266.36,5.86,22.0,0.1,12,Южный,Нагорная,1-к апартаменты
257.64,11.8,45.8,0.7,9,Юго-восточный,Печатники,2-к квартира
318.58,18.0,56.5,0.2,14,Юго-восточный,Дубровка,2-к квартира
224.32,8.3,37.0,1.7,16,Юго-западный,Улица Скобелевская,2-к квартира
295.65,34.0,115.0,0.3,22,Южный,Пражская,4-к квартира
170.34,6.49,38.1,0.3,6,Юго-восточный,Кожуховская,2-к квартира
191.43,6.7,35.0,1.0,12,Южный,Крымская,1-к квартира
711.74,100.0,140.5,0.7,6,Центральный,Павелецкая,3-к квартира
325.17,18.73,57.6,0.8,9,Северный,Зорге,2-к квартира
363.13,6.5,17.9,1.2,5,Восточный,Соколиная гора,1-к квартира
223.21,12.5,56.0,3.4,5,Северо-западный,Строгино,3-к квартира
307.76,21.82,70.9,0.3,53,Центральный,Шелепиха,2-к квартира
318.51,17.55,55.1,1.0,14,Северный,Савёловская,2-к квартира
348.79,18.8,53.9,1.0,27,Южный,Нагатинская,2-к квартира
361.62,39.67,109.7,0.7,20,Северо-восточный,Алексеевская,3-к квартира
338.35,33.53,99.1,1.1,28,Южный,Нагатинская,3-к квартира
275.26,26.59,96.6,0.4,32,Северный,Водный стадион,4-к квартира
423.39,23.71,56.0,0.3,20,Западный,Фили,2-к квартира
259.15,6.09,23.5,2.0,14,Новомосковский,Коммунарка,1-к квартира
294.03,15.76,53.6,1.4,25,Северо-западный,Октябрьское поле,2-к квартира
452.0,44.07,97.5,0.9,28,Западный,Багратионовская,3-к апартаменты
267.21,9.78,36.6,0.8,17,Новомосковский,Прокшино,2-к квартира
230.74,21.32,92.4,1.4,18,Юго-западный,Профсоюзная,3-к апартаменты
243.94,10.27,42.1,0.7,15,Новомосковский,Прокшино,2-к квартира
285.43,18.41,64.5,0.3,17,Западный,Аминьевская,2-к квартира
