price_per_square_metr,price,square,distance_to_station,total_floors,district,metro_station,apartment_type
322.83,8.2,25.4,1.4,33,Южный,Нагатинская,Квартира-студия
298.19,13.15,44.1,0.7,5,Северо-западный,Щукинская,2-к квартира
248.43,12.67,51.0,0.5,33,Восточный,Локомотив,2-к квартира
391.2,22.22,56.8,0.3,20,Западный,Фили,2-к квартира
337.5,11.61,34.4,0.4,33,Северо-восточный,Бутырская,1-к квартира
245.25,10.84,44.2,2.6,33,Северный,Селигерская,1-к квартира
231.35,12.47,53.9,1.3,23,Южный,Кантемировская,2-к квартира
214.01,30.71,143.5,0.8,56,Северо-восточный,Ростокино,3-к квартира
250.82,10.71,42.7,0.8,33,Восточный,Бульвар Рокоссовского,1-к квартира
450.0,13.5,30.0,0.7,17,Центральный,Бауманская,1-к квартира
246.56,12.55,50.9,0.7,22,Юго-восточный,Некрасовка,2-к квартира
279.96,15.65,55.9,1.4,25,Северо-западный,Октябрьское поле,2-к квартира
209.76,14.62,69.7,1.0,22,Юго-западный,Бунинская аллея,3-к квартира
243.97,9.71,39.8,2.3,12,Юго-западный,Улица Горчакова,1-к квартира
380.45,31.92,83.9,0.7,36,Северный,Дмитровская,3-к квартира
378.31,14.3,37.8,0.6,21,Юго-западный,Академическая,1-к квартира
317.31,8.25,26.0,0.9,9,Северный,Аэропорт,1-к квартира
201.95,10.34,51.2,1.1,18,Северо-восточный,Ботанический сад,2-к апартаменты
245.62,13.73,55.9,0.9,33,Восточный,Бульвар Рокоссовского,2-к квартира
221.38,9.32,42.1,0.7,15,Новомосковский,Прокшино,2-к квартира
228.32,13.06,57.2,0.8,16,Новомосковский,Прокшино,3-к квартира
345.33,17.37,50.3,0.6,12,Западный,Багратионовская,1-к квартира
268.44,8.59,32.0,1.0,21,Западный,Озёрная,1-к квартира
338.71,10.5,31.0,1.2,7,Центральный,Римская,Апартаменты-студия
291.86,6.45,22.1,0.7,16,Новомосковский,Прокшино,Квартира-студия
214.22,13.71,64.0,0.9,14,Новомосковский,Прокшино,2-к квартира
257.38,21.98,85.4,0.3,33,Северо-восточный,Бутырская,3-к квартира
297.89,18.35,61.6,0.8,24,Северо-западный,Спартак,2-к квартира
230.95,9.7,42.0,3.0,9,Юго-восточный,Люблино,2-к квартира
350.22,7.88,22.5,0.8,24,Северо-западный,Спартак,Квартира-студия
261.28,19.57,74.9,0.7,12,Северо-западный,Спартак,2-к квартира
238.8,12.37,51.8,0.8,33,Восточный,Бульвар Рокоссовского,2-к квартира
528.39,40.95,77.5,0.8,41,Западный,Студенческая,3-к квартира
284.85,7.52,26.4,0.2,28,Северный,Стрешнево,Апартаменты-студия
220.21,10.46,47.5,0.8,14,Новомосковский,Прокшино,2-к квартира
205.05,19.09,93.1,0.8,33,Северо-восточный,Владыкино,3-к квартира
201.3,15.46,76.8,0.7,15,Новомосковский,Прокшино,3-к квартира
298.47,9.73,32.6,0.7,33,Западный,Озёрная,2-к квартира
205.07,13.74,67.0,1.0,21,Юго-западный,Бунинская аллея,3-к квартира
306.88,30.78,100.3,0.8,24,Северо-восточный,Алексеевская,4-к квартира
248.5,12.4,49.9,0.7,16,Новомосковский,Прокшино,2-к квартира
223.94,18.52,82.7,1.8,15,Юго-западный,Бунинская аллея,3-к квартира
250.92,12.22,48.7,0.5,33,Восточный,Локомотив,2-к квартира
330.46,13.78,41.7,1.4,33,Южный,Коломенская,2-к квартира
219.21,30.47,139.0,0.8,56,Северо-восточный,Ростокино,3-к квартира
246.59,12.28,49.8,0.7,23,Юго-восточный,Некрасовка,1-к квартира
231.2,12.3,53.2,1.6,16,Северо-восточный,Отрадное,2-к квартира
295.38,17.28,58.5,1.3,33,Южный,Нагатинская,2-к квартира
278.87,20.72,74.3,0.8,24,Северо-западный,Спартак,3-к квартира
186.39,9.86,52.9,2.0,14,Новомосковский,Коммунарка,2-к квартира
304.45,10.26,33.7,0.2,32,Северо-восточный,Бутырская,Квартира-студия
247.25,13.03,52.7,1.1,21,Центральный,Рижская,2-к апартаменты
194.67,14.6,75.0,1.9,17,Северный,Ховрино,3-к квартира
254.9,18.2,71.4,0.9,13,Южный,Варшавская,3-к квартира
218.57,30.49,139.5,0.8,56,Северо-восточный,Ростокино,3-к квартира
293.55,18.2,62.0,1.8,17,Северо-восточный,Бибирево,2-к квартира
236.99,12.75,53.8,1.3,23,Южный,Кантемировская,2-к квартира
326.32,21.7,66.5,0.7,12,Западный,Багратионовская,2-к квартира
335.12,25.57,76.3,0.8,44,Западный,Мичуринский проспект,3-к квартира
196.38,18.42,93.8,0.8,33,Северо-восточный,Владыкино,3-к квартира
204.82,14.44,70.5,2.0,16,Новомосковский,Коммунарка,4-к квартира
288.81,12.91,44.7,0.3,33,Западный,Аминьевская,1-к квартира
305.59,13.66,44.7,0.3,33,Западный,Аминьевская,1-к квартира
224.24,16.28,72.6,0.8,33,Восточный,Бульвар Рокоссовского,3-к квартира
212.61,11.8,55.5,2.3,25,Юго-западный,Улица Скобелевская,2-к квартира
241.65,15.2,62.9,0.9,33,Восточный,Бульвар Рокоссовского,2-к квартира
218.91,10.42,47.6,0.7,16,Новомосковский,Прокшино,2-к квартира
394.78,9.83,24.9,0.8,21,Северный,Зорге,1-к квартира
217.97,8.37,38.4,2.7,12,Южный,Улица академика Янгеля,1-к квартира
309.89,11.59,37.4,0.8,17,Северный,Балтийская,1-к квартира
345.45,10.26,29.7,0.3,33,Северо-восточный,Бутырская,Квартира-студия
270.93,9.32,34.4,1.1,21,Центральный,Рижская,1-к апартаменты
237.75,24.94,104.9,1.4,18,Юго-западный,Профсоюзная,3-к апартаменты
207.22,15.5,74.8,1.3,33,Южный,Кантемировская,3-к квартира
272.7,10.39,38.1,0.7,15,Новомосковский,Прокшино,2-к квартира
263.72,22.1,83.8,0.3,17,Западный,Аминьевская,3-к квартира
223.8,14.01,62.6,1.3,33,Южный,Кантемировская,2-к квартира
653.28,72.71,111.3,0.9,40,Северный,ЦСКА,4-к квартира
183.63,14.25,77.6,2.8,5,Западный,Давыдково,3-к квартира
215.79,18.45,85.5,1.4,6,Восточный,Перово,3-к квартира
227.07,14.26,62.8,0.5,16,Восточный,Локомотив,2-к квартира
372.27,20.81,55.9,1.0,27,Южный,Нагатинская,2-к квартира
182.11,8.45,46.4,0.9,27,Северо-западный,Пятницкое шоссе,2-к квартира
306.57,6.07,19.8,1.8,17,Новомосковский,Коммунарка,Квартира-студия
303.66,24.05,79.2,1.3,27,Южный,Нагатинская,3-к квартира
198.76,12.78,64.3,2.0,8,Новомосковский,Коммунарка,2-к квартира
336.6,11.68,34.7,0.3,33,Западный,Аминьевская,1-к квартира
249.43,6.56,26.3,2.6,21,Новомосковский,Филатов луг,1-к квартира
204.84,17.76,86.7,1.6,11,Южный,Царицыно,3-к квартира
218.16,8.77,40.2,1.9,14,Новомосковский,Коммунарка,2-к квартира
214.32,16.31,76.1,0.7,15,Новомосковский,Прокшино,3-к квартира
234.75,14.39,61.3,0.9,15,Новомосковский,Прокшино,2-к квартира
238.6,9.21,38.6,0.9,9,Новомосковский,Прокшино,1-к квартира
235.97,11.94,50.6,0.8,14,Западный,Озёрная,1-к квартира
291.9,12.26,42.0,0.3,32,Северный,Водный стадион,2-к квартира
279.47,5.31,19.0,1.8,9,Новомосковский,Коммунарка,1-к квартира
266.62,20.69,77.6,0.7,5,Северо-восточный,Бутырская,3-к квартира
248.58,13.1,52.7,1.1,21,Центральный,Рижская,2-к апартаменты
451.01,11.14,24.7,0.6,24,Западный,Багратионовская,Квартира-студия
354.23,7.12,20.1,0.7,33,Западный,Озёрная,Квартира-студия
253.89,8.15,32.1,1.1,18,Северо-восточный,Ботанический сад,1-к апартаменты
719.9,120.44,167.3,0.9,39,Северный,ЦСКА,4-к квартира
205.7,16.6,80.7,1.3,33,Южный,Кантемировская,3-к квартира
229.64,11.62,50.6,0.8,13,Новомосковский,Прокшино,2-к квартира
397.79,7.2,18.1,0.4,9,Северный,Сокол,Квартира-студия
267.76,34.14,127.5,1.2,30,Западный,Давыдково,4-к квартира
253.59,12.35,48.7,0.5,33,Восточный,Локомотив,2-к квартира
227.3,15.82,69.6,2.0,8,Юго-западный,Бунинская аллея,2-к квартира
281.32,10.24,36.4,0.7,33,Западный,Озёрная,2-к квартира
270.14,9.86,36.5,0.8,33,Восточный,Бульвар Рокоссовского,1-к квартира
407.34,11.65,28.6,0.7,20,Северный,Хорошёво,Апартаменты-студия
212.47,10.56,49.7,1.0,22,Юго-западный,Бунинская аллея,2-к квартира
537.5,21.5,40.0,1.0,25,Центральный,Шелепиха,2-к квартира
320.7,8.21,25.6,1.1,21,Центральный,Рижская,Апартаменты-студия
341.28,9.59,28.1,0.8,24,Северо-западный,Спартак,Квартира-студия
203.26,13.72,67.5,2.0,16,Новомосковский,Коммунарка,2-к квартира
311.24,13.85,44.5,0.9,13,Южный,Варшавская,2-к квартира
312.36,13.9,44.5,0.9,13,Южный,Варшавская,2-к квартира
442.92,10.63,24.0,0.6,24,Западный,Багратионовская,Квартира-студия
218.63,13.38,61.2,1.9,17,Юго-западный,Бунинская аллея,2-к квартира
405.36,13.62,33.6,0.9,26,Южный,Нагатинская,1-к квартира
272.0,17.0,62.5,0.8,20,Юго-восточный,Новохохловская,3-к квартира
341.18,25.52,74.8,0.3,41,Центральный,Шелепиха,2-к квартира
194.68,14.27,73.3,1.4,28,Северный,Речной вокзал,2-к апартаменты
318.18,9.45,29.7,0.3,33,Северо-восточный,Бутырская,Квартира-студия
227.21,10.52,46.3,1.7,15,Юго-западный,Бунинская аллея,2-к квартира
203.69,17.68,86.8,1.0,20,Юго-западный,Бунинская аллея,3-к квартира
253.03,9.59,37.9,2.3,16,Юго-западный,Улица Горчакова,1-к квартира
216.69,19.09,88.1,0.5,33,Восточный,Локомотив,3-к квартира
235.59,12.51,53.1,1.3,15,Новомосковский,Прокшино,2-к квартира
216.38,12.68,58.6,2.0,16,Новомосковский,Коммунарка,2-к квартира
198.44,13.95,70.3,0.7,15,Новомосковский,Прокшино,3-к квартира
252.98,12.32,48.7,0.5,33,Восточный,Локомотив,2-к квартира
313.63,18.41,58.7,1.4,33,Южный,Коломенская,2-к квартира
251.68,24.69,98.1,0.9,13,Южный,Варшавская,3-к квартира
198.97,17.31,87.0,1.0,21,Юго-западный,Бунинская аллея,3-к квартира
204.02,10.65,52.2,1.9,18,Новомосковский,Коммунарка,2-к квартира
375.94,27.97,74.4,0.3,20,Западный,Фили,3-к квартира
192.78,14.69,76.2,1.9,14,Новомосковский,Коммунарка,3-к квартира
423.83,9.96,23.5,0.7,12,Западный,Багратионовская,Квартира-студия
216.38,16.12,74.5,0.7,15,Новомосковский,Прокшино,3-к квартира
293.16,17.15,58.5,1.4,33,Южный,Коломенская,2-к квартира
351.35,10.4,29.6,0.3,33,Северо-восточный,Бутырская,Квартира-студия
193.83,14.13,72.9,1.9,9,Новомосковский,Коммунарка,3-к квартира
315.99,17.0,53.8,0.8,22,Северный,Селигерская,2-к квартира
249.44,13.42,53.8,0.7,21,Западный,Озёрная,2-к квартира
230.6,13.49,58.5,0.8,15,Новомосковский,Прокшино,2-к квартира
328.48,36.56,111.3,0.8,14,Северо-западный,Спартак,3-к квартира
345.37,18.65,54.0,1.0,27,Южный,Нагатинская,2-к квартира
655.8,59.94,91.4,0.9,40,Северный,ЦСКА,3-к квартира
207.49,15.52,74.8,1.3,23,Южный,Кантемировская,3-к квартира
269.34,11.07,41.1,0.8,33,Северо-восточный,Владыкино,1-к квартира
263.54,17.42,66.1,0.9,13,Южный,Варшавская,3-к квартира
244.57,9.0,36.8,0.7,15,Новомосковский,Прокшино,1-к квартира
198.78,13.06,65.7,1.1,13,Новомосковский,Рассказовка,2-к квартира
365.35,9.28,25.4,0.4,33,Северо-восточный,Бутырская,Квартира-студия
251.37,12.82,51.0,0.5,33,Восточный,Локомотив,2-к квартира
265.74,19.08,71.8,0.7,23,Южный,Варшавская,3-к квартира
226.5,11.71,51.7,2.0,16,Новомосковский,Коммунарка,2-к квартира
321.58,11.77,36.6,0.3,33,Западный,Аминьевская,1-к квартира
366.67,8.25,22.5,0.8,24,Северо-западный,Спартак,Квартира-студия
303.91,11.67,38.4,0.6,33,Западный,Озёрная,1-к квартира
325.19,25.82,79.4,0.8,21,Северный,Зорге,3-к квартира
296.02,9.68,32.7,1.1,21,Центральный,Рижская,1-к апартаменты
635.11,115.4,181.7,0.9,40,Северный,Аэропорт,4-к квартира
259.54,19.31,74.4,1.0,14,Северный,Савёловская,2-к квартира
358.45,12.94,36.1,1.4,33,Южный,Нагатинская,1-к квартира
315.61,7.48,23.7,0.7,21,Западный,Озёрная,Квартира-студия
270.08,20.58,76.2,0.2,32,Северо-восточный,Бутырская,3-к квартира
189.82,17.52,92.3,1.1,23,Юго-восточный,Некрасовка,3-к квартира
243.11,10.94,45.0,1.7,14,Юго-западный,Бунинская аллея,2-к квартира
379.74,34.48,90.8,0.7,20,Южный,Тульская,3-к квартира
267.05,23.1,86.5,0.8,22,Северный,Селигерская,3-к квартира
261.96,27.48,104.9,1.4,18,Юго-западный,Профсоюзная,3-к апартаменты
283.18,9.26,32.7,1.1,21,Центральный,Рижская,1-к апартаменты
253.42,13.33,52.6,1.1,21,Центральный,Рижская,2-к апартаменты
281.72,10.79,38.3,1.3,15,Новомосковский,Прокшино,2-к квартира
280.22,10.2,36.4,0.7,33,Западный,Озёрная,2-к квартира
355.56,16.64,46.8,0.8,9,Северный,Зорге,2-к квартира
364.06,6.99,19.2,1.3,15,Новомосковский,Прокшино,Квартира-студия
306.45,5.7,18.6,0.5,2,Восточный,Измайлово,1-к апартаменты
328.0,10.66,32.5,1.3,33,Южный,Нагатинская,1-к квартира
198.55,16.46,82.9,0.8,15,Новомосковский,Прокшино,3-к квартира
325.94,20.86,64.0,0.6,24,Западный,Багратионовская,2-к квартира
204.18,13.68,67.0,1.0,21,Юго-западный,Бунинская аллея,3-к квартира
214.66,15.52,72.3,1.3,33,Южный,Кантемировская,2-к квартира
345.54,14.34,41.5,0.8,30,Юго-восточный,Окская,2-к квартира
247.41,6.68,27.0,4.6,14,Юго-западный,Бунинская аллея,1-к квартира
348.48,10.35,29.7,0.3,33,Северо-восточный,Бутырская,Квартира-студия
238.59,13.91,58.3,0.5,33,Восточный,Локомотив,2-к квартира
351.86,16.08,45.7,0.9,26,Южный,Нагатинская,2-к квартира
419.0,42.57,101.6,1.0,29,Центральный,Шелепиха,4-к квартира
327.25,10.93,33.4,0.3,33,Северо-восточный,Бутырская,Квартира-студия
231.44,18.77,81.1,0.7,33,Северный,Водный стадион,3-к квартира
368.11,9.35,25.4,0.4,33,Северо-восточный,Бутырская,Квартира-студия
401.59,10.12,25.2,0.6,23,Восточный,Авиамоторная,Квартира-студия
434.93,11.83,27.2,0.7,36,Северный,Дмитровская,1-к квартира
323.88,25.36,78.3,0.8,9,Южный,Технопарк,3-к квартира
273.36,12.93,47.3,0.2,28,Северный,Стрешнево,1-к апартаменты
379.25,9.14,24.1,0.3,33,Западный,Аминьевская,Квартира-студия
282.37,10.25,36.3,0.7,33,Западный,Озёрная,1-к квартира
349.73,6.47,18.5,0.9,15,Новомосковский,Прокшино,Квартира-студия
214.22,13.71,64.0,0.9,14,Новомосковский,Прокшино,2-к квартира
225.0,7.02,31.2,2.0,14,Новомосковский,Коммунарка,1-к квартира
309.75,7.31,23.6,0.8,16,Новомосковский,Прокшино,Квартира-студия
207.49,15.52,74.8,1.3,23,Южный,Кантемировская,3-к квартира
248.22,10.45,42.1,0.9,33,Восточный,Бульвар Рокоссовского,1-к квартира
349.67,15.98,45.7,0.9,26,Южный,Нагатинская,2-к квартира
247.33,6.95,28.1,2.6,21,Новомосковский,Филатов луг,1-к квартира
287.52,17.74,61.7,0.8,15,Северо-западный,Спартак,2-к квартира
217.66,14.54,66.8,1.9,17,Юго-восточный,Марьино,2-к квартира
219.12,20.4,93.1,0.8,33,Северо-восточный,Владыкино,3-к квартира
215.97,6.76,31.3,2.0,10,Новомосковский,Коммунарка,1-к квартира
444.09,16.92,38.1,0.3,20,Западный,Фили,1-к квартира
322.58,10.0,31.0,1.0,9,Западный,Аминьевская,1-к квартира
255.76,16.88,66.0,0.9,13,Южный,Варшавская,3-к квартира
232.22,9.01,38.8,0.8,14,Новомосковский,Прокшино,1-к квартира
371.97,9.82,26.4,0.3,32,Северный,Водный стадион,Квартира-студия
339.2,12.72,37.5,0.3,33,Северо-восточный,Бутырская,2-к квартира
477.33,10.74,22.5,0.9,36,Западный,Мичуринский проспект,1-к квартира
277.64,11.55,41.6,0.8,33,Северо-восточный,Владыкино,2-к квартира
201.1,11.0,54.7,1.8,17,Новомосковский,Коммунарка,2-к квартира
213.12,12.02,56.4,1.9,9,Новомосковский,Коммунарка,2-к квартира
245.79,7.89,32.1,1.1,18,Северо-восточный,Ботанический сад,1-к апартаменты
332.97,12.12,36.4,0.4,33,Северо-восточный,Бутырская,1-к квартира
328.47,18.92,57.6,0.8,9,Северный,Зорге,2-к квартира
330.34,21.34,64.6,0.6,24,Западный,Багратионовская,2-к квартира
287.32,9.97,34.7,0.7,21,Западный,Озёрная,1-к квартира
246.94,10.1,40.9,0.2,28,Северный,Стрешнево,1-к апартаменты
315.23,25.88,82.1,1.1,9,Южный,Нагатинская,3-к квартира
268.05,10.99,41.0,0.2,28,Северный,Стрешнево,1-к апартаменты
341.09,43.66,128.0,0.6,22,Южный,Шаболовская,3-к квартира
373.98,42.26,113.0,0.6,22,Южный,Шаболовская,3-к квартира
669.33,70.28,105.0,0.5,18,Центральный,Улица 1905 года,2-к квартира
288.89,15.6,54.0,1.4,5,Северо-западный,Тушинская,2-к апартаменты
313.77,15.5,49.4,0.2,5,Северо-западный,Октябрьское поле,2-к квартира
405.8,45.45,112.0,0.6,22,Южный,Шаболовская,3-к квартира
209.76,15.69,74.8,1.3,23,Южный,Кантемировская,3-к квартира
298.36,19.99,67.0,0.8,14,Юго-западный,Академическая,3-к квартира
1001.48,135.0,134.8,0.4,10,Центральный,Белорусская,3-к квартира
143.1,8.3,58.0,1.6,16,Юго-восточный,Марьино,2-к квартира
185.0,6.66,36.0,0.3,17,Юго-восточный,Некрасовка,1-к квартира
360.62,40.75,113.0,0.6,22,Южный,Шаболовская,3-к квартира
235.19,19.85,84.4,1.0,11,Южный,Тульская,3-к квартира
259.33,13.2,50.9,1.0,17,Западный,Проспект Вернадского,2-к квартира
255.73,14.5,56.7,1.1,5,Восточный,Бульвар Рокоссовского,3-к квартира
457.78,41.2,90.0,0.5,18,Северный,Динамо,3-к квартира
156.45,9.7,62.0,0.5,17,Юго-восточный,Некрасовка,3-к квартира
458.82,39.0,85.0,0.5,18,Центральный,Улица 1905 года,1-к квартира
272.73,10.2,37.4,3.2,23,Западный,Молодёжная,1-к квартира
183.87,5.7,31.0,4.6,45,Южный,Царицыно,Квартира-студия
272.95,11.0,40.3,0.6,12,Центральный,Менделеевская,1-к квартира
468.41,43.0,91.8,0.7,21,Западный,Раменки,2-к квартира
182.82,7.13,39.0,0.7,17,Юго-восточный,Печатники,1-к квартира
243.34,9.32,38.3,0.8,21,Северный,Хорошёво,2-к квартира
137.53,6.12,44.5,1.3,9,Южный,Домодедовская,2-к квартира
426.94,34.07,79.8,2.1,20,Северо-западный,Щукинская,2-к квартира
301.55,5.85,19.4,0.6,5,Северный,Окружная,Апартаменты-студия
263.41,5.4,20.5,0.3,7,Северный,Окружная,Квартира-студия
229.53,14.3,62.3,1.0,12,Северный,Ховрино,3-к квартира
250.0,25.0,100.0,0.9,25,Западный,Тропарёво,4-к квартира
236.62,16.8,71.0,2.4,32,Юго-восточный,Марьино,3-к квартира
210.71,12.2,57.9,0.4,22,Юго-западный,Беляево,2-к квартира
405.96,32.03,78.9,2.1,20,Северо-западный,Щукинская,2-к квартира
469.85,37.4,79.6,2.1,20,Северо-западный,Щукинская,2-к квартира
331.21,26.0,78.5,0.4,5,Центральный,Белорусская,2-к квартира
315.87,19.9,63.0,0.8,9,Северный,Петровско-Разумовская,3-к квартира
419.3,33.46,79.8,2.1,20,Северо-западный,Щукинская,2-к квартира
480.43,13.5,28.1,0.7,51,Западный,Мичуринский проспект,Квартира-студия
302.76,12.08,39.9,0.7,22,Северный,Хорошёвская,2-к апартаменты
215.42,5.17,24.0,0.4,17,Юго-восточный,Некрасовка,Квартира-студия
648.65,72.0,111.0,1.5,8,Западный,Ломоносовский проспект,3-к квартира
573.59,26.5,46.2,1.1,30,Северный,Хорошёво,2-к квартира
587.3,37.0,63.0,0.5,4,Центральный,Чеховская,3-к квартира
791.67,95.0,120.0,0.7,8,Центральный,Парк культуры,2-к квартира
228.12,8.6,37.7,0.9,17,Юго-восточный,Марьино,1-к квартира
183.28,5.7,31.1,4.6,48,Южный,Царицыно,Квартира-студия
217.07,8.9,41.0,0.3,26,Южный,Лесопарковая,1-к квартира
296.48,5.9,19.9,0.5,5,Центральный,Красносельская,Квартира-студия
495.0,36.63,74.0,0.9,7,Центральный,Улица 1905 года,3-к апартаменты
248.81,10.45,42.0,0.5,5,Западный,Кутузовская,2-к квартира
145.3,5.1,35.1,0.6,12,Южный,Пражская,1-к квартира
330.7,17.99,54.4,0.4,17,Западный,Молодёжная,2-к квартира
300.94,15.95,53.0,1.6,14,Северный,Войковская,2-к квартира
262.17,7.97,30.4,0.9,21,Юго-восточный,Волгоградский проспект,1-к апартаменты
313.56,18.5,59.0,1.1,22,Северо-восточный,ВДНХ,2-к квартира
169.9,6.49,38.2,0.3,6,Юго-восточный,Кожуховская,Апартаменты-студия
250.0,20.0,80.0,1.8,14,Восточный,Белокаменная,4-к квартира
284.98,7.78,27.3,1.7,19,Восточный,Бульвар Рокоссовского,Квартира-студия
244.77,11.7,47.8,0.7,12,Юго-восточный,Выхино,2-к квартира
254.14,16.9,66.5,1.0,16,Центральный,Площадь Ильича,3-к квартира
259.04,8.6,33.2,1.3,9,Восточный,Белокаменная,1-к квартира
313.43,16.8,53.6,1.2,25,Южный,Домодедовская,2-к квартира
168.39,8.79,52.2,1.3,20,Южный,Коломенская,2-к квартира
301.7,12.4,41.1,1.0,12,Северо-восточный,ВДНХ,2-к квартира
337.93,49.0,145.0,0.3,23,Юго-западный,Ясенево,4-к квартира
285.56,20.76,72.7,0.7,22,Северный,Хорошёвская,3-к апартаменты
240.43,5.65,23.5,0.9,9,Западный,Юго-Западная,Квартира-студия
367.57,13.6,37.0,1.1,15,Юго-восточный,Люблино,1-к квартира
769.64,145.0,188.4,0.2,3,Центральный,Третьяковская,3-к апартаменты
349.46,22.61,64.7,0.7,44,Северо-восточный,Марьина Роща,2-к квартира
230.16,14.5,63.0,0.4,12,Центральный,Шелепиха,3-к квартира
408.57,14.3,35.0,1.2,16,Северо-восточный,Ботанический сад,1-к квартира
284.23,16.4,57.7,0.4,32,Северный,Водный стадион,2-к квартира
282.57,12.97,45.9,0.7,22,Северный,Хорошёвская,2-к апартаменты
422.22,19.0,45.0,0.7,27,Северо-восточный,Бутырская,1-к апартаменты
743.9,61.0,82.0,0.4,7,Центральный,Фрунзенская,3-к квартира
180.1,15.11,83.9,1.9,9,Новомосковский,Коммунарка,3-к квартира
437.77,20.4,46.6,0.7,17,Северный,Войковская,1-к квартира
305.59,26.8,87.7,0.9,8,Южный,Верхние котлы,3-к квартира
473.68,27.0,57.0,0.7,23,Северо-восточный,Ботанический сад,2-к квартира
371.13,14.14,38.1,0.5,21,Западный,Аминьевская,1-к квартира
314.88,19.05,60.5,0.5,21,Западный,Аминьевская,2-к квартира
337.17,19.05,56.5,0.5,21,Западный,Аминьевская,2-к квартира
341.23,14.4,42.2,0.5,21,Западный,Аминьевская,1-к квартира
307.11,22.02,71.7,0.5,9,Западный,Аминьевская,2-к квартира
323.67,18.87,58.3,0.5,9,Западный,Аминьевская,2-к квартира
316.72,19.13,60.4,0.5,21,Западный,Аминьевская,2-к квартира
365.01,16.9,46.3,0.5,9,Западный,Аминьевская,1-к квартира
372.14,13.36,35.9,0.5,21,Западный,Аминьевская,1-к квартира
299.12,20.46,68.4,0.5,21,Западный,Аминьевская,2-к квартира
347.73,15.3,44.0,0.5,21,Западный,Аминьевская,1-к квартира
380.22,16.92,44.5,0.5,9,Западный,Аминьевская,1-к квартира
308.01,19.62,63.7,0.5,21,Западный,Аминьевская,2-к квартира
310.22,19.73,63.6,0.5,21,Западный,Аминьевская,2-к квартира
308.21,20.65,67.0,0.5,21,Западный,Аминьевская,2-к квартира
316.48,19.59,61.9,0.5,21,Западный,Аминьевская,2-к квартира
364.91,13.83,37.9,0.5,21,Западный,Аминьевская,1-к квартира
332.04,19.69,59.3,0.5,9,Западный,Аминьевская,2-к квартира
396.93,12.94,32.6,0.5,21,Западный,Аминьевская,1-к квартира
385.67,13.46,34.9,0.5,21,Западный,Аминьевская,1-к квартира
314.19,22.37,71.2,0.5,21,Западный,Аминьевская,2-к квартира
357.05,15.71,44.0,0.5,21,Западный,Аминьевская,1-к квартира
308.23,21.36,69.3,0.5,9,Западный,Аминьевская,2-к квартира
329.66,17.67,53.6,0.5,21,Западный,Аминьевская,2-к квартира
324.29,19.49,60.1,0.5,9,Западный,Аминьевская,2-к квартира
350.71,14.73,42.0,0.5,21,Западный,Аминьевская,1-к квартира
242.86,8.5,35.0,0.7,5,Восточный,Перово,1-к квартира
549.33,103.0,187.5,0.1,85,Центральный,Международная,2-к апартаменты
323.61,18.09,55.9,1.1,28,Южный,Нагатинская,1-к квартира
444.43,25.91,58.3,1.1,27,Центральный,Серпуховская,2-к квартира
362.87,25.51,70.3,0.4,22,Южный,Технопарк,2-к квартира
347.83,16.0,46.0,0.6,38,Северный,Дмитровская,2-к апартаменты
349.93,52.0,148.6,1.3,25,Западный,Давыдково,4-к квартира
263.79,11.0,41.7,0.7,21,Западный,Озёрная,1-к квартира
507.12,17.8,35.1,0.3,10,Центральный,Павелецкая,1-к апартаменты
416.67,25.0,60.0,0.8,53,Северо-восточный,Свиблово,2-к квартира
365.17,6.5,17.8,0.5,2,Восточный,Измайлово,Апартаменты-студия
263.16,12.5,47.5,1.0,14,Юго-западный,Тёплый стан,1-к апартаменты
423.73,20.0,47.2,0.5,5,Центральный,Красные ворота,2-к квартира
313.9,28.0,89.2,0.4,5,Центральный,Маяковская,4-к квартира
217.57,5.2,23.9,0.8,9,Юго-восточный,Юго-Восточная,Квартира-студия
225.77,8.85,39.2,0.9,16,Центральный,Площадь Ильича,1-к квартира
266.5,15.99,60.0,0.3,25,Южный,Чертановская,2-к квартира
423.46,34.3,81.0,0.6,12,Восточный,Электрозаводская,2-к квартира
237.75,9.7,40.8,1.5,5,Юго-восточный,Кузьминки,2-к квартира
270.74,15.73,58.1,1.7,22,Северный,Селигерская,2-к квартира
192.26,14.9,77.5,1.5,21,Северо-восточный,Медведково,2-к апартаменты
400.0,22.4,56.0,0.1,12,Южный,Тульская,2-к квартира
323.08,10.5,32.5,0.9,9,Юго-западный,Тёплый стан,1-к квартира
253.49,21.8,86.0,0.9,25,Южный,Чертановская,2-к квартира
345.19,22.23,64.4,0.6,19,Северо-восточный,Алексеевская,2-к апартаменты
342.02,22.3,65.2,0.4,25,Западный,Кунцевская,2-к квартира
469.26,50.68,108.0,0.9,19,Южный,Автозаводская,4-к квартира
604.65,26.0,43.0,1.0,10,Центральный,Фрунзенская,2-к квартира
241.55,10.0,41.4,0.9,12,Восточный,Электрозаводская,2-к квартира
642.22,41.68,64.9,0.7,21,Центральный,Улица 1905 года,1-к квартира
378.59,14.5,38.3,0.6,25,Новомосковский,Говорово,1-к квартира
292.68,12.0,41.0,0.3,5,Северный,Войковская,2-к квартира
323.94,11.5,35.5,0.4,6,Южный,Коломенская,1-к квартира
228.98,8.77,38.3,1.0,21,Юго-западный,Бунинская аллея,1-к квартира
